r, amp_w, t_w, tp_w, phase_w, vert_w, acre, c_w, qe, ce, qd, qs, amp_s, t_s, tp_s, phase_s, vert_s, tal, exp, mal, output
200.85452908, 10000.05075635, 6.06496730, 6.06009179, 4.56302751, 26305.21396183, 13.32417743, 0.00041544, 9.52399232, 1.58565742, 719.99990000, 3600.09790695, 584.77541362, 6.06500546, 6.06924048, 4.50686215, 1530.86159131, 1836.12969341, 0.64743406, 50.36509781, -3459.14273080
160.76534654, 10000.05527710, 6.04420143, 6.04458254, 4.52513018, 26305.18908830, 1.49509888, 0.00296181, 71.36165596, 1.50683271, 719.99990004, 3600.09999832, 277.65029903, 6.06094220, 6.02560499, 4.58386161, 2012.42904767, 5122.71671364, 99.87373044, 0.56123335, -3499.93608962
225.18276884, 10000.05640185, 6.05503532, 6.04556681, 4.58375999, 26305.20952441, 1.51103678, 0.00410643, 97.04601855, 1.53615118, 719.99990003, 3600.10000000, 349.95279606, 6.02815216, 6.00210207, 4.54080728, 1828.02214013, 2202.68868366, 60.52572756, 48.44342472, -3455.48873559
298.93566119, 10000.08932344, 6.01937913, 6.05448073, 4.55401756, 26305.18690867, 4.96454090, 0.00165956, 40.34362018, 1.50020732, 720.05096140, 3600.10000000, 643.53577582, 6.03324404, 6.05215552, 4.56050748, 1599.49855775, 5671.47968949, 75.13688640, 13.49435169, -3427.61252641
239.17647677, 10000.04141505, 6.03817605, 6.05965756, 4.57660826, 26305.23868312, 2.67374786, 0.00246419, 57.64130039, 1.55193332, 720.00145048, 3600.09999272, 566.65135911, 6.00289066, 6.07922829, 4.49995580, 1980.86574001, 3294.58417309, 18.56200823, 149.06376675, -3494.05177764
149.63468199, 10000.00053032, 6.06954414, 6.09874931, 4.52538064, 26305.18813526, 4.08774976, 0.00100874, 58.46395654, 1.58223492, 719.99990001, 3600.10000000, 672.20813127, 6.04371430, 6.03954505, 4.53539137, 2700.10000000, 7364.25400409, 46.27472696, 0.36990002, -3584.86976457
159.39406080, 10000.05034260, 6.07343175, 6.06102874, 4.55801054, 26305.18221812, 3.42116594, 0.00128335, 30.37302860, 1.53394540, 719.99990000, 3600.10000000, 300.89897044, 6.01794155, 6.04225925, 4.57245360, 2408.86268097, 1782.76662615, 72.27486379, 0.41110630, -3552.19561142
109.65124834, 10000.02764185, 6.06346895, 6.09640225, 4.58066586, 26305.22580752, 9.02074300, 0.00034000, 8.12868269, 1.49562601, 719.99990000, 3600.10000000, 505.26999127, 6.07523446, 6.00586862, 4.58996688, 2112.12942569, 3991.00569584, 97.31506289, 11.67906518, -3564.42490562
345.30862670, 10000.01084087, 6.07945756, 6.05135208, 4.56481914, 26305.22906237, 2.54823809, 0.00374322, 85.69364949, 1.58582634, 720.00771802, 3600.09985235, 664.74955278, 6.04894887, 6.05206842, 4.59979559, 1953.09594664, 6215.86732235, 49.26691164, 158.85155035, -3451.33044936
84.65176198, 10000.02683670, 6.09814550, 6.07621092, 4.55083311, 26305.13997755, 0.55584096, 0.00419811, 100.09921783, 1.52256872, 719.99990000, 3600.10000000, 675.10000000, 6.04901922, 5.99991902, 4.53491615, 2700.10000000, 6754.76368398, 0.36990000, 84.00304484, -3669.80570226